Filename,ClassId
1479425441182877835,-7.164599
1479425441232704425,-19.085928
1479425441282730750,-23.839285
1479425441332806714,-24.490095
1479425441382790272,-24.498053
1479425441432724303,-26.933416
1479425441482746958,-27.355383
1479425441532802506,-27.548094
1479425441582725165,-27.499594
1479425441632720892,-27.496828
1479425441682732948,-27.449068
1479425441732800574,-27.705626
1479425441782737331,-29.188955
1479425441832816004,-30.745565
1479425441882830087,-31.798979
1479425441932849879,-32.414272
1479425441982783223,-32.684624
1479425442032874172,-31.984320
1479425442082758552,-31.551905
1479425442132852121,-30.612326
1479425442182761838,-29.714540
1479425442232828524,-28.326902
1479425442282862682,-26.230673
1479425442332893792,-25.194036
1479425442382858459,-22.175032
1479425442432797491,-21.039557
1479425442482899263,-18.304930
1479425442532771570,-19.250002
1479425442582809345,-19.694849
1479425442632821093,-21.253332
1479425442682747552,-19.654486
1479425442732806572,-18.460299
1479425442782862182,-18.629530
1479425442832833025,-19.547956
1479425442882822631,-20.048025
1479425442932809867,-19.561079
1479425442982805056,-19.718077
1479425443032823520,-20.104078
1479425443082812203,-21.083200
1479425443132827444,-23.955286
1479425443182854411,-24.028784
1479425443232861030,-25.568335
1479425443282879357,-26.047697
1479425443332896491,-23.670267
1479425443382879593,-22.684965
1479425443432903742,-19.704432
1479425443483016593,-16.578604
1479425443533017775,-14.112948
1479425443582977575,-14.322570
1479425443632945821,-14.448886
1479425443682982187,-16.030161
1479425443732869219,-18.515200
1479425443782898808,-19.126368
1479425443833012205,-19.487341
1479425443882914607,-18.121668
1479425443933132143,-16.284399
1479425443983182782,-14.096850
1479425444033115695,-12.565566
1479425444083198332,-11.719394
1479425444133127546,-11.152141
1479425444183146275,-11.826419
1479425444233201168,-12.209735
1479425444283138737,-13.398875
1479425444333229360,-13.640719
1479425444383185181,-13.330657
1479425444434593057,-11.878913
1479425444483190972,-11.977611
1479425444533172421,-11.715037
1479425444583259948,-11.488765
1479425444633286162,-11.514476
1479425444683294213,-11.806041
1479425444733253036,-13.368609
1479425444783291032,-16.416567
1479425444833288592,-17.939112
1479425444883283220,-21.503603
1479425444933328937,-21.299875
1479425444983260437,-20.828588
1479425445033271766,-23.182325
1479425445083281310,-22.890005
1479425445133336475,-21.235899
1479425445183328558,-18.669168
1479425445233404698,-15.284469
1479425445283448582,-13.939834
1479425445333367499,-14.014255
1479425445383326348,-15.046470
1479425445433499090,-16.110403
1479425445483382125,-18.556746
1479425445533489877,-19.433771
1479425445583437918,-20.675383
1479425445633423016,-21.840487
1479425445683329266,-23.126303
1479425445733403939,-24.655973
1479425445783307622,-26.254770
1479425445833353168,-26.629965
1479425445883484127,-26.432657
1479425445933390665,-25.524103
1479425445983503068,-24.450686
1479425446033440044,-21.473913
1479425446083426096,-18.494452
1479425446133410346,-16.097750
1479425446183468695,-15.180522
1479425446233463132,-15.573924
1479425446283447100,-16.988916
1479425446333431175,-17.823397
1479425446383424337,-19.221529
1479425446433457370,-20.064013
1479425446483371405,-20.804583
1479425446533500137,-20.569822
1479425446583477115,-21.118864
1479425446633522506,-21.038523
1479425446683589238,-20.764318
1479425446733573761,-20.561792
1479425446783611898,-20.117620
1479425446833546046,-19.965532
1479425446883533208,-20.126860
1479425446933547800,-20.178404
1479425446983608400,-20.420664
1479425447033578750,-21.436880
1479425447083596868,-21.903151
1479425447133467484,-22.035864
1479425447183549871,-22.175753
1479425447233486454,-22.785204
1479425447283725051,-23.468370
1479425447333693598,-24.995485
1479425447383620607,-26.008646
1479425447433621760,-26.161070
